useragent,comment
*Abonti*,
*Aboundex*,
*Aboundexbot*,
*absinthe*,
*Acunetix*,
** adlib/**,
*ADmantX*,
*adscanner*,
*AdsTxtCrawlerTP*,
*AfD-Verbotsverfahren*,
*agent **,
*agent*,
*AhrefsBot*,
*AIBOT*,
*AiHitBot*,
*Aipbot*,
*Alexibot*,
*ALittle Client*,
*Alligator*,
*AllSubmitter*,
*AlphaBot*,
*Anarchie*,
*Anarchy*,
*Anarchy99*,
*Ankit*,
*Anthill*,
*anthropic-ai*,
*antSword/v2.1*,
*Apexoo*,
*AppleWebkit/587.38 (KHTML*, like Gecko)*,
* arachni/*,
*archive.org_bot*,
*Ares_ldr_v_**,
*arquivo.pt*,
*arquivo-web-crawler*,
** asd*,
*Aspiegel*,
*ASPSeek*,
*Asterias*,
*Atomseobot*,
*Attach*,
*autoemailspider*,
*AutoIt*,
*AwarioBot*,
*awario.com*,
*AwarioRssBot*,
*AwarioSmartBot*,
*AYAYAYAY1337*,
*B1D3N_RIM_MY_ASS*,
*backdoorbot*,
*BackDoorBot*,
*Backlink-Ceck*,
*backlink-check*,
*BacklinkCrawler*,
*BackStreet*,
*BackWeb*,
*Badass*,
*Bandit*,
*Barkrowler*,
*BatchFTP*,
*Battleztar Bazinga*,
*BBBike*,
*BDCbot*,
*BDFetch*,
*BetaBot*,
* BFAC *,
** BGroom **,
*Bigfoot*,
*Bitacle*,
*Blackboard*,
*Black Hole*,
*BlackWidow*,
*BLEXBot*,
*Blow*,
*BlowFish*,
*Boardreader*,
*Bolt*,
*BotALot*,
*Brandprotect*,
*Brandwatch*,
* brutus *,
*bsqlbf*,
*Buck*,
*Buddy*,
*BuiltBotTough*,
*BuiltWith*,
*Bullseye*,
*BunnyLoader*,
*BunnyLoader_Dropper*,
*BunnyRequester*,
*BunnyShell*,
*BunnySlippers*,
*BunnyStealer*,
*BunnyTasks*,
*BuzzSumo*,
*Bytespider*,
*cah.io.community*,
*Calculon*,
*CATExplorador*,
*CazoodleBot*,
*CCBot*,
*ccminer*,
*Cegbfeieh*,
*CensysInspect*,
* cgichk *,
** changhuatong*,
**(Charon; Inferno)*,
*ChatGPT-User*,
*check1.exe*,
*CheeseBot*,
*CherryPicker*,
*CheTeam*,
*ChinaClaw*,
*Chlooe*,
** CholTBAgent*,
*Citoid*,
*Claritybot*,
*clark-crawler*,
*ClaudeBot*,
*CLCTR*,
*Cliqzbot*,
*Cloud mapping*,
*coccocbot*,
*Cocolyzebot*,
*CODE87*,
*Cogentbot*,
*cognitiveseo*,
*cohere-ai*,
*Collector*,
*com.plumanalytics*,
*Copier*,
*CopyRightCheck*,
*Copyscape*,
*core*,
*Cosmos*,
*Craftbot*,
*crawler4j*,
*crawler.feedback*,
*Crawling at Home Project*,
*crawl.sogou.com*,
*CrazyWebCrawler*,
*Crescent*,
* crimscanner/*,
*CrunchBot*,
*CSHttp*,
*Curious*,
*Custo*,
*CyotekWebCopy*,
*DatabaseDriverMysqli*,
*datacha0s*,
*DataCha0s*,
*dataforseobot*,
*dataforseo.com*,
*DBLBot*,
*demandbase-bot*,
*Demon*,
*Deusu*,
*Devil*,
*Digincore*,
*DigitalPebble*,
*DIIbot*,
*dirbuster*,
*Dirbuster*,
*Disco*,
*Discobot*,
*Discoverybot*,
*Dispatch*,
*DittoSpyder*,
*DnBCrawler-Analytics*,
*DnyzBot*,
*DomainAppender*,
*DomainCrawler*,
*DomainSigmaCrawler*,
*Domains Project*,
*domainsproject.org*,
*DomainStatsBot*,
*DomCopBot*,
*domino hunter*,
*Dotbot*,
*dotdotpwn*,
*DotDotPwn v2.1*,
*Download Wonder*,
*Dragonfly*,
*DSearch*,
*DTS Agent*,
*DuckTales*,
*EasyDL*,
*Ebingbong*,
*eCatch*,
*ECCP/1.0*,
*Ecxi*,
*Edge/91.0.864.37*,
*EirGrabber*,
*EMail Siphon*,
*EMail Wolf*,
